nom_programme;numero;rue;cp;ville
RESID LA PETITE LOIRE;13;PETITE RUE DE LA LOIRE;42300;ROANNE
RÉSIDENCE LA TURCIE;69;RUE HOCHE;42300;ROANNE
RÉSIDENCE LES RIVES SUD;580;RUE ALBRECHT IFFLANDER;42153;RIORGES
CHEMIN BEAUREGARD;200;CHEMIN DE BEAUREGARD;42300;VILLEREST
LES SERVOIRETS;626;CHEMIN DES SERVOIRETS;42300;VILLEREST
LES SOURCES;172;RUE DE LA SOURCE;42310;LA PACAUDIERE
RÉSIDENCE LES JARDINS D ARRAS;2;RUE J. DUBESSAY DE CONTENSON;42300;ROANNE
RÉSIDENCE JEAN - MOULIN - SERENITE;11;RUE JEAN MOULIN;42300;ROANNE
RÉSIDENCE LE GRAND CHEMIN;61;RUE DES NOYERS;42153;RIORGES
LE CLOS DES REMPARTS;224;RUE DE LA GRANGE NAPPARD;42300;VILLEREST
GAMBETTA;7;AVENUE GAMBETTA;42300;ROANNE
LOT LES SEIGNES;157;IMPASSE DE LA LOUEVE;42300;VILLEREST
RÉSIDENCE SENTEUR PARC - SERENITE;9;RUE WALDECK ROUSSEAU;42300;ROANNE
RES. DE LA COTE;247;RUE DU MARECHAL FOCH;42153;RIORGES
19 RUE PIERRE SEMARD;19;RUE PIERRE SEMARD;42300;ROANNE
RES. LES TERRASSES DES BALMES;10;RUE DES BALMES;42120;LE COTEAU
RÉSIDENCE LE PRESBYTERE;141;RUE DU CHATEAU;42120;PERREUX
1 RUE BRECHARD;1;RUE BRECHARD;42300;ROANNE
8 PLACE LAROCHETTE;8;PLACE LAROCHETTE;42300;ROANNE
53 RUE HOCHE;53;RUE HOCHE;42300;ROANNE
LE CAPRICORNE;8;RUE FELIX PYAT;42300;ROANNE
9001 PLACE JEAN COCTEAU;238;RUE LEON BLUM;42153;RIORGES
GEORGES CLEMENCEAU;32;RUE GEORGES CLEMENCEAU;42120;LE COTEAU
ALLEE DES ACACIAS;8;ALLEE DES ACACIAS;42155;ST LEGER SUR ROANNE
PL.DES MARRONNIERS;67;PLACE DES MARRONNIERS;42155;LENTIGNY
BD. JULES FERRY;12;BOULEVARD JULES FERRY;42300;ROANNE
6 RUE BROSSARD;6;RUE BROSSARD;42300;ROANNE
RÉSIDENCE LES ALLEES DE RIORGES;274;RUE JULES FARON;42153;RIORGES
